Name	Glottocode	Area	Longitude	Latitude	classification	Countries	Family_ID
Nama (Papua New Guinea)	nama1266	NG area	141.706	-8.66403	more1255/more1256/namb1292/nama1270	PG	more1255
Namat	nama1267	NG area	141.641	-8.827	more1255/more1256/namb1292	PG	more1255
Nambo	namb1293	NG area	141.931	-8.74501	more1255/more1256/namb1292	PG	more1255
Namia	nami1256	NG area	141.788	-3.85538	sepi1257/yell1247	PG	sepi1257
Namiae	nami1258	NG area	148.166	-9.18089	koia1260/bara1376/bara1377	PG	koia1260
Namla	naml1240	NG area	140.66	-3.58	naml1239	ID	naml1239
Namo	namo1246	NG area	141.824	-9.12416	more1255/more1256/namb1292/namo1249	PG	more1255
Namut-Nginamanu	namu1249	NG area	120.975435	-8.578948	aust1307/mala1545/bima1248/flor1240/flor1241/ngad1265/ngad1266/ngad1267	ID	aust1307
Nankina	nank1250	NG area	146.464	-5.80804	nucl1709/fini1244/fini1245/yupn1242	PG	nucl1709
Nanubae-Imangae	nanu1240	NG area	143.937	-4.71731	araf1243	PG	araf1243
Narak	nara1264	NG area	144.754	-5.5591	nucl1709/cent2120/jimi1245/kand1306	PG	nucl1709
Narau	nara1265	NG area	139.876	-3.43594	book1242	ID	book1242
Nauete	naue1237	NG area	126.741	-8.70733	aust1307/mala1545/timo1265/east2894/kawa1289	TL	aust1307
Nauna	naun1237	NG area	148.201	-2.21213	aust1307/mala1545/east2712/ocea1241/admi1239/east2459/sout2879	PG	aust1307
Nawaru	nawa1258	NG area	148.237	-9.37935	yare1250/yare1251	PG	yare1250
Ndom	ndom1245	NG area	138.019	-7.93553	kolo1268	ID	kolo1268
Nduga	ndug1245	NG area	138.411	-4.34043	nucl1709/dani1287/ngal1299	ID	nucl1709
Nedebang	nede1245	NG area	124.192	-8.28776	timo1261/alor1249/nucl1821/west2994/pant1258	ID	timo1261
Nehan	neha1247	NG area	154.2	-4.56875	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/neha1246/nucl1750	PG	aust1307
Nekgini	nekg1240	NG area	146.253	-5.64364	nucl1709/fini1244/fini1245/gusa1245/gira1248	PG	nucl1709
Nek	nekk1240	NG area	146.841	-6.37697	nucl1709/fini1244/fini1245/erap1240/boan1245/nekn1234	PG	nucl1709
Neko	neko1240	NG area	146.306	-5.60034	nucl1709/fini1244/fini1245/gusa1245/gira1248	PG	nucl1709
Neme	neme1244	NG area	141.849	-8.44877	more1255/more1256/namb1292	PG	more1255
Nend	nend1239	NG area	144.886	-5.04271	nucl1709/mada1298/kala1403/sout3148/soge1235/apal1258/grea1297/atan1241	PG	nucl1709
Nen	nenn1238	NG area	142.032	-8.62183	more1255/more1256/namb1292	PG	more1255
Nete	nete1240	NG area	143.029	-5.02368	nucl1709/enga1254/enga1251/oute1259	PG	nucl1709
Ngad'a	ngad1261	NG area	120.976	-8.79508	aust1307/mala1545/bima1248/flor1240/flor1241/ngad1265/ngad1266/ngad1267	ID	aust1307
Ngaing	ngai1241	NG area	146.343	-5.6513	nucl1709/fini1244/fini1245/gusa1245/unun9980	PG	nucl1709
Ngalum	ngal1298	NG area	141.03	-4.67682	nucl1709/cent2116/awyu1265/okok1235/okkk1242	ID;PG	nucl1709
Ngala	ngal1300	NG area	142.5	-4.26628	nduu1242	PG	nduu1242
Garo (Sumba)	ngga1239	NG area	119.25403	-9.71011	aust1307/mala1545/bima1248/flor1240/sumb1242/sumb1243/kodi1251	ID	aust1307
Nggem	ngge1241	NG area	139.011	-3.62735	nucl1709/dani1287	ID	nucl1709
Ngkontar Ngkolmpu	ngka1235	NG area	140.818	-8.87044	more1255/kanu1280/ngkr1234/ngka1236	ID;PG	more1255
Nigilu	nigi1241	NG area	142.55	-4.45	sepi1257/sepi1258/cent2234/bahi1255	PG	sepi1257
Nii	niii1240	NG area	144.518	-5.763	nucl1709/cent2120/wahg1249	PG	nucl1709
Niksek	niks1238	NG area	142.45	-4.82581	sepi1257/sepi1258/west2576/hewa1240	PG	sepi1257
Nila	nila1244	NG area	129.512131	-6.734956	aust1307/mala1545/timo1265/sout3382/teun1242/nila1243	ID;TL	aust1307
Nimi	nimi1240	NG area	146.679	-6.34065	nucl1709/fini1244/fini1245/erap1240/sauk1253	PG	nucl1709
Nimoa	nimo1246	NG area	153.158	-11.2297	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/peri1258/nimo1245	PG	aust1307
Nimo	nimo1247	NG area	141.578	-4.3582	left1242/nucl1244/nimo1248	PG	left1242
Ningil	ning1273	NG area	142.251	-3.49733	nucl1708/wape1249/cent2407/wape1250/ning1276	PG	nucl1708
Ninggerum	ning1274	NG area	141.158	-5.43194	nucl1709/cent2116/awyu1265/okok1235/okkk1242/lowl1259	ID;PG	nucl1709
Ningera	ning1275	NG area	141.454	-2.77145	bord1247/bewa1242	PG	bord1247
Ninia Yali	nini1235	NG area	139.39	-4.4737	nucl1709/dani1287/ngal1299/yali1257	ID	nucl1709
Nipsan	nips1240	NG area	139.753	-4.14421	nucl1709/mekk1240/west2585	ID	nucl1709
Nisa-Anasi	nisa1239	NG area	137.6	-1.95386	geel1240	ID	geel1240
Nobonob	nobo1238	NG area	145.712	-5.06952	nucl1709/mada1298/croi1234/mabu1247/hans1243/garu1247	PG	nucl1709
Nomane	noma1262	NG area	145.098	-6.30218	nucl1709/cent2120/simb1258/chua1249	PG	nucl1709
Nomu	nomu1240	NG area	147.5	-6.10429	nucl1709/fini1244/huon1246/west2795/crom1234/dall1240	PG	nucl1709
North Moluccan Malay	nort2828	NG area	128.323	-0.86437	aust1307/mala1545/mala1536/nort3170/mala1538/nucl1806/vehi1234/east2743/mana1300	ID	aust1307
North Watut	nort2857	NG area	146.218	-6.64084	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/watu1246	PG	aust1307
North Babar	nort2860	NG area	129.743	-7.84311	aust1307/mala1545/timo1265/sout3382/baba1274/nort2859	ID	aust1307
Wemale	nort2864	NG area	128.839	-3.05143	aust1307/mala1545/nunu1252/thre1238	ID	aust1307
North Nuaulu	nort2867	NG area	129.277	-2.93154	aust1307/mala1545/nunu1252/pata1263/nuau1240	ID	aust1307
Northern One	nort2907	NG area	142.006	-3.25535	nucl1708/west2580/onee1245/cent2238	PG	nucl1708
North Muyu	nort2916	NG area	140.84	-5.55319	nucl1709/cent2116/awyu1265/okok1235/okkk1242/lowl1259/divi1234	ID	nucl1709
Momogo-Pupis-Irogo	nort2917	NG area	138.405	-4.89854	nucl1709/cent2116/asma1256/asma1257	ID	nucl1709
North Awyu	nort2918	NG area	140.068	-5.93647	nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264	ID	nucl1709
North Tairora	nort2920	NG area	145.959	-6.51563	nucl1709/kain1273/kain1274/tair1260	PG	nucl1709
North Wahgi	nort2921	NG area	144.804	-5.75356	nucl1709/cent2120/wahg1249	PG	nucl1709
Northeast Kiwai	nort2930	NG area	144.667	-7.39215	kiwa1251	PG	kiwa1251
Notsi	nots1237	NG area	151.661	-3.0557	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/taba1270	PG	aust1307
Mombum	nucl1452	NG area	138.773	-8.27141	momb1255	ID	momb1255
Walio	nucl1453	NG area	142.231	-4.41234	wali1264/pais1239	PG	wali1264
Yawa	nucl1454	NG area	136.263	-1.77196	yawa1259	ID	yawa1259
Monumbo	nucl1458	NG area	144.95	-4.2717	monu1249	PG	monu1249
Kwomtari	nucl1593	NG area	141.488	-3.50718	kwom1263	PG	kwom1263
Mairasi	nucl1594	NG area	134.071	-3.4511	mair1253	ID	mair1253
Kwerba	nucl1595	NG area	138.486	-2.2137	kwer1242/kwer1240/kwer1262	ID	kwer1242
Wahgi	nucl1620	NG area	144.665	-6.11629	nucl1709/cent2120/wahg1249	PG	nucl1709
Marind	nucl1622	NG area	140.009	-8.15651	anim1240/mari1437/nucl1621	ID;PG	anim1240
Barai	nucl1630	NG area	147.899	-9.46246	koia1260/bara1376/bara1377	PG	koia1260
Sentani	nucl1632	NG area	140.512	-2.6013	sent1261/nucl1631/sent1262	ID	sent1261
Nimboran	nucl1633	NG area	140.179	-2.5803	nimb1257	ID	nimb1257
Skou	nucl1634	NG area	140.902	-2.64378	skoo1245/skou1238/skou1239	ID	skoo1245
Nuk	nukk1240	NG area	146.875	-6.40741	nucl1709/fini1244/fini1245/erap1240/boan1245/nekn1234	PG	nucl1709
Nukna	nukn1238	NG area	146.969	-6.0177	nucl1709/fini1244/fini1245/uruw1240	PG	nucl1709
